City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Fairmont,US,39.4851,-80.1426,26.26,90,100,1.99,overcast clouds
306,Poum,NC,-20.2333,164.0167,81.48,76,99,16.75,light rain
307,Dogondoutchi,NE,13.6393,4.0287,61.84,14,0,13.04,clear sky
308,Thinadhoo,MV,0.5333,72.9333,81.72,73,100,12.3,overcast clouds
309,Port Elizabeth,ZA,-33.918,25.5701,67.1,78,98,7.54,overcast clouds
310,Dingle,PH,10.9995,122.6711,79.32,77,87,16.82,overcast clouds
311,Makakilo City,US,21.3469,-158.0858,78.01,61,20,9.22,few clouds
312,Namatanai,PG,-3.6667,152.4333,85.5,66,80,9.04,broken clouds
313,Marzuq,YE,14.4,46.4667,61.86,29,0,5.55,clear sky
314,Garissa,KE,-0.4536,39.6401,76.75,70,100,6.2,overcast clouds
315,Vilcun,CL,-38.65,-72.2333,52.54,89,100,1.61,overcast clouds
316,Mount Gambier,AU,-37.8333,140.7667,73.65,43,54,12.28,broken clouds
317,Taywarah,AF,33.35,64.4167,22.53,45,39,3.09,scattered clouds
318,Flin Flon,CA,54.7682,-101.865,-9.81,95,100,5.75,overcast clouds
319,Ostrovnoy,RU,68.0531,39.5131,12.63,86,100,21.36,overcast clouds
320,Stuart,US,27.1976,-80.2528,73.0,83,0,4.61,clear sky
321,Sabang,ID,5.8933,95.3214,82.06,74,85,17.52,overcast clouds
322,Providencia,MX,28.7167,-111.5833,71.65,35,0,14.7,clear sky
323,Mackenzie,CA,55.2999,-123.1698,35.82,87,100,6.91,overcast clouds
324,Sitka,US,57.0531,-135.33,42.69,81,100,13.8,light rain
325,Ahipara,NZ,-35.1667,173.1667,74.43,86,87,15.66,overcast clouds
326,Marawi,PH,7.9986,124.2928,78.26,60,74,4.61,broken clouds
327,Kuliyapitiya,LK,7.4688,80.0401,73.08,83,27,2.28,scattered clouds
328,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.23,85,98,21.61,overcast clouds
329,Oranjemund,NA,-28.55,16.4333,63.14,87,8,7.54,clear sky
330,Shubarshi,KZ,48.5872,57.1869,26.92,90,100,16.28,overcast clouds
331,Qasigiannguit,GL,68.8193,-51.1922,10.65,91,100,5.7,overcast clouds
332,Kununurra,AU,-15.7667,128.7333,82.38,83,75,9.22,broken clouds
333,Mezen,RU,65.8522,44.24,-7.87,100,100,5.97,overcast clouds
334,Lethem,GY,3.3803,-59.7968,79.18,71,98,10.51,overcast clouds
335,Karlstad,SE,59.3793,13.5036,30.76,100,7,6.91,clear sky
336,Fortuna,US,40.5982,-124.1573,50.47,90,20,1.01,few clouds
337,Raton,US,36.9034,-104.4391,26.58,63,0,3.44,clear sky
338,Klyuchi,RU,52.2667,79.1667,2.46,83,7,8.55,clear sky
339,Jha Jha,IN,24.7667,86.3667,56.07,82,100,10.38,overcast clouds
340,Sorong,ID,-0.8833,131.25,84.54,72,100,15.41,overcast clouds
341,Senanga,ZM,-16.1167,23.2667,65.34,98,100,3.29,moderate rain
342,Ilhabela,BR,-23.7781,-45.3581,76.96,92,100,5.03,overcast clouds
343,Dolores,AR,-36.3132,-57.6792,63.1,96,100,2.06,light rain
344,La Ronge,CA,55.1001,-105.2842,-2.29,97,100,10.09,light snow
345,Slagelse,DK,55.4028,11.3546,36.84,93,53,16.93,broken clouds
